objectid,reporter,RecOwner,SciName,ComName,Nativity,OccStatus,Status,ObsDate,DateEnt,DateUp,Location,Latitude,Longitude,Datum,Method,CoordAcc,DataType,Centroid,Abundance,InfestAcre,GrossAcre,Percentcov,Density,APPXQuant,NumCollect,Smallest,Largest,Incidence,Severity,Host,Host_Name,HostPheno,HostDamage,ManageStat,PopStat,Habitat,LocalOwner,Site,RecBasis,Museum,MuseumRec,Voucher,ObsIDer,CollectTme,UUID,OrgSrcID,OrigName,RecSrcTyp,Surveyor,DateAcc,VisitType,DataMthd,TrapType,NumTraps,TargetName,TargetCnt,TargetRnge,Phenology,LifeStatus,Sex,PID,WaterName,WaterType,Substrate,TreatArea,PlantTreat,TreatComm,Reference,Locality,Comments,ReviewDate,Reviewer,VerifyMthd,Verified,IDCred,ReviewComm
2685551,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Undetected,Negative,7/15/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.41325,-72.94779,WGS84     ,,,,,,,,,,,,,,,,,,,,Not Found,,,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,12/18/2017,Julie Richburg,Bulk Verified,Verified,Credible,WISP project with professional botanists surveying for invasives.
2685553,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/15/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.41393,-72.94888,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685566,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/15/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.42139,-72.95069,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685578,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/15/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.43973,-72.9704,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685625,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/15/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.43077,-72.98226,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Open Field           ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685628,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/15/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.42656,-72.98246,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685644,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/19/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.3455,-72.88835,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685646,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/19/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.3415,-72.88841,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685650,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/19/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.34251,-72.88873,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Yard/Garden                                       ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685654,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/19/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.34467,-72.88875,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
2685657,Westfield Invasive Species Partnership WISP,Non-profit,Berberis vulgaris,common barberry,Introduced,Detected,Positive,7/19/2010,3/4/2013,,"Hampshire, Massachusetts, United States",42.34425,-72.88878,WGS84     ,,,,,,,,,,,,,,,,,,,,Unknown,,Roadside/Pipeline/Railroad Habitats               ,,,,,,,,,,,,Bulk Data,Maggie Mansfield,,,,,,,,,,,,,,,,,,,,,,,,,Verified,,
