DOWnum,WaterBody,County,Species,YearInfested,YearConfirmed
02-0014,Amelia,Anoka,flowering rush,2014,1968
02-0135,Bass,Anoka,flowering rush,2014,1968
66-0008,Cannon,Rice,flowering rush,2007,1972
03-0363,Curfman (Deadshot Bay),Becker,flowering rush,2007,1976
03-0381,Detroit,Becker,flowering rush,2007,1976
03-0475,Melissa,Becker,flowering rush,2007,1985
16-0001,Superior,Multiple,spiny waterflea,1995,1987
27-0133,Minnetonka,Hennepin,Eurasian watermilfoil,1995,1987
10-0015,Virginia,Carver,Eurasian watermilfoil,1995,1988
19-0446,Lac Lavon,Dakota,Eurasian watermilfoil,1995,1988
27-0040,Lake of the Isles,Hennepin,Eurasian watermilfoil,1995,1988
27-0085,Libbs,Hennepin,Eurasian watermilfoil,1995,1988
27-0138,Peavey,Hennepin,Eurasian watermilfoil,1999,1988
27-0141,Tanager,Hennepin,Eurasian watermilfoil,1999,1988
55-0008,George,Olmsted,Eurasian watermilfoil,1995,1988
82-0167,White Bear,Washington,Eurasian watermilfoil,1995,1988
02-0003,Otter,Anoka,Eurasian watermilfoil,1995,1989
03-0359,Sallie,Becker,flowering rush,2007,1989
10-0009,Minnewashta,Carver,Eurasian watermilfoil,1995,1989
10-0019,Bavaria,Carver,Eurasian watermilfoil,1995,1989
10-0041,Zumbra,Carver,Eurasian watermilfoil,1995,1989
10-0044,Auburn,Carver,Eurasian watermilfoil,1995,1989
10-0059,Waconia,Carver,Eurasian watermilfoil,1995,1989
16-0001,Superior,Multiple,zebra mussel,1995,1989
27-0031,Calhoun,Hennepin,Eurasian watermilfoil,1995,1989
27-0104,Medicine,Hennepin,Eurasian watermilfoil,1995,1989
27-0176,Independence,Hennepin,Eurasian watermilfoil,1995,1989
27-0181,Dutch,Hennepin,Eurasian watermilfoil,1995,1989
27-0192,Rebecca,Hennepin,Eurasian watermilfoil,1995,1989
62-0002,Bald Eagle,Ramsey,Eurasian watermilfoil ,1995,1989
62-0038,Vadnais ,Ramsey,Eurasian watermilfoil,1995,1989
86-0252,Clearwater,Wright,Eurasian watermilfoil,1995,1989
,Minnehaha Creek,Hennepin,Eurasian watermilfoil,1995,1989
02-0084,Crooked,Anoka,Eurasian watermilfoil,1995,1990
10-0002,Riley,Carver,Eurasian watermilfoil,1995,1990
10-0018,Schutz,Carver,Eurasian watermilfoil,1995,1990
13-0041,Green,Chisago,Eurasian watermilfoil,1995,1990
13-0047,Ellen,Chisago,Eurasian watermilfoil,1999,1990
27-0039,Cedar,Hennepin,Eurasian watermilfoil,1995,1990
27-0047,Bush,Hennepin,Eurasian watermilfoil,1995,1990
27-0102,Schmidt,Hennepin,Eurasian watermilfoil,1995,1990
27-0139,Forest,Hennepin,Eurasian watermilfoil,1995,1990
27-0191,Sarah,Hennepin,Eurasian watermilfoil,1995,1990
33-0028,Knife,Kanabec,Eurasian watermilfoil,1995,1990
69-0372,Island,St. Louis,spiny waterflea,1995,1990
69-0491,Fish,St. Louis,spiny waterflea,1995,1990
86-0233,Sugar,Wright,Eurasian watermilfoil,1995,1990
,Cloquet River from Island Lake to the St. Louis River,St. Louis,spiny waterflea,1995,1990
10-0006,Lotus,Carver,Eurasian watermilfoil,1995,1991
10-0053,Pierson,Carver,Eurasian watermilfoil,1995,1991
10-0056,Stone,Carver,Eurasian watermilfoil,1995,1991
19-0027,Crystal,Dakota,Eurasian watermilfoil,1995,1991
27-0016,Harriet,Hennepin,Eurasian watermilfoil,1995,1991
27-0038,Brownie,Hennepin,Eurasian watermilfoil,1995,1991
27-0067,Bryant,Hennepin,Eurasian watermilfoil,1995,1991
27-0107,Parker’s,Hennepin,Eurasian watermilfoil,1995,1991
27-0179,Little Long,Hennepin,Eurasian watermilfoil,1995,1991
62-0075,Island,Ramsey,Eurasian watermilfoil,1995,1991
70-0026,Lower Prior,Scott,Eurasian watermilfoil,1995,1991
86-0053,Pulaski,Wright,Eurasian watermilfoil,1995,1991
86-0114,Waverly,Wright,Eurasian watermilfoil,1995,1991
,"Niccum’s Pond (located in the NW 1/4 of the SW 1/4 of S10, T117N, R24W)",Hennepin,Eurasian watermilfoil,1995,1991
02-0654,Cenaiko,Anoka,Eurasian watermilfoil,1995,1992
02-0688,Unnamed Lake in Springbrook Nature Center,Anoka,Eurasian watermilfoil,1995,1992
13-0069,Rush,Chisago,Eurasian watermilfoil,1995,1992
18-0034,Bay,Crow Wing,Eurasian watermilfoil,1995,1992
19-0005,"Mississippi River, Pool 2, including 500 feet upstream into its tributaries",Multiple,zebra mussel,1995,1992
21-0257,Oscar ,Douglas,Eurasian watermilfoil,1995,1992
25-0001,Pepin,Multiple,zebra mussel,2012,1992
25-0017,"Mississippi River, Pool 3, including 500 feet upstream into its tributaries",Multiple,zebra mussel,1995,1992
27-0003,"Mississippi River, Pool 1, including 500 feet upstream into its tributaries",Multiple,zebra mussel,1995,1992
27-0111,Eagle (includes Pike),Hennepin,Eurasian watermilfoil,1995,1992
27-0137,Christmas,Hennepin,Eurasian watermilfoil,1995,1992
27-0160,Long,Hennepin,Eurasian watermilfoil,1995,1992
28-0001,"Mississippi River, Pool 9, including 500 feet upstream into its tributaries",Multiple,zebra mussel,1995,1992
28-0005,"Mississippi River, Pool 8, including 500 feet upstream into its tributaries",Multiple,zebra mussel,1995,1992
62-0001,Silver,Ramsey,Eurasian watermilfoil ,1995,1992
62-0082,Wabasso,Ramsey,Eurasian watermilfoil,1995,1992
79-0001,"Mississippi River, Pool 5, including 500 feet upstream into its tributaries",Multiple,zebra mussel,1995,1992
79-0005,"Mississippi River, Pool 4, including 500 feet upstream into its tributaries",Multiple,zebra mussel,1995,1992
82-0001,St. Croix River,Washington,Eurasian watermilfoil,1995,1992
85-0001,"Mississippi River, Pool 7, including 500 feet upstream into its tributaries",Multiple,zebra mussel,1995,1992
85-0002,"Mississippi River, Pool 6, including 500 feet upstream into its tributaries",Multiple,zebra mussel,1995,1992
85-0013,"Mississippi River, Pool 5A, including 500 feet upstream into its tributaries",Multiple,zebra mussel,1995,1992
86-0106,Little Waverly,Wright,Eurasian watermilfoil,1995,1992
27-0118,Fish,Hennepin,Eurasian watermilfoil,1995,1993
86-0023,Beebe,Wright,Eurasian watermilfoil,1995,1993
86-0182,Rock,Wright,Eurasian watermilfoil,1995,1993
86-0284,Augusta,Wright,Eurasian watermilfoil,1995,1993
,"Swan (located in the NW 1/4 of the NW 1/4 of S4, T117N, R23W)",Hennepin,Eurasian watermilfoil,1995,1993
27-0018,Hiawatha,Hennepin,Eurasian watermilfoil,1995,1994
77-0150,Sauk,Todd,Eurasian watermilfoil,1995,1994
10-0012,Ann,Carver,Eurasian watermilfoil,1995,1995
27-0019,Nokomis,Hennepin,Eurasian watermilfoil,1995,1995
27-0045,Arrowhead,Hennepin,Eurasian watermilfoil,1996,1995
27-0071,Round,Hennepin,Eurasian watermilfoil,1996,1995
31-0191,South Twin,Itasca,flowering rush,2007,1995
62-0007,Gervais,Ramsey,Eurasian watermilfoil,1995,1995
62-0010,Keller,Ramsey,Eurasian watermilfoil,1995,1995
62-0028,Sucker,Ramsey,Eurasian watermilfoil,1996,1995
,Spoon Creek between Keller and Phalen lakes,Ramsey,Eurasian watermilfoil,1999,1995
19-0028,Twin Lakes,Dakota,Eurasian watermilfoil,1997,1996
27-0037,Wirth,Hennepin,Eurasian watermilfoil,1997,1996
27-0116,Rice,Hennepin,Eurasian watermilfoil,1997,1996
27-0184,Whaletail,Hennepin,Eurasian watermilfoil,1997,1996
61-0072,Gilchrist,Pope,Eurasian watermilfoil,1997,1996
,St. Croix River downstream of the dam at Taylors Falls ,Multiple,bighead carp,2012,1996
10-0226,Firemen’s,Carver,Eurasian watermilfoil,1997,1997
18-0212,Ruth,Crow Wing,Eurasian watermilfoil,1997,1997
62-0012,Round,Ramsey,Eurasian watermilfoil,1997,1997
62-0013,Phalen,Ramsey,Eurasian watermilfoil,1997,1997
86-0156,Mary,Wright,Eurasian watermilfoil,1997,1997
,Sauk River from Juergens to Sauk,Todd,flowering rush,2007,1997
02-0091,George,Anoka,Eurasian watermilfoil,1998,1998
19-0026,Marion,Dakota,Eurasian watermilfoil,1998,1998
27-0098,Bass,Hennepin,Eurasian watermilfoil,1998,1998
48-0002,Mille Lacs,Mille Lacs,Eurasian watermilfoil,1999,1998
61-0130,Minnewaska,Pope,Eurasian watermilfoil,1998,1998
66-0010,Wells,Rice,flowering rush,2007,1998
73-0312,Unnamed (wetland along Clearwater River),Multiple,Eurasian watermilfoil,1999,1998
82-0092,Powers,Washington,Eurasian watermilfoil,1998,1998
82-0159,Forest,Washington,flowering rush,2007,1998
86-0242,Weigand,Wright,Eurasian watermilfoil,1999,1998
,Mille Lacs tributaries from their mouths upstream to the posted boundaries,Multiple,Eurasian watermilfoil,1999,1998
,"Clearwater River downstream of Clearwater, including 500 feet upstream into its tributaries",Wright,Eurasian watermilfoil,1999,1998
02-0006,Centerville,Anoka,Eurasian watermilfoil,1999,1999
31-0370,McKinney,Itasca,Eurasian watermilfoil,1999,1999
31-0372,Ice,Itasca,Eurasian watermilfoil,1999,1999
47-0046,Washington,Meeker,Eurasian watermilfoil,1999,1999
47-0068,Stella,Meeker,Eurasian watermilfoil,1999,1999
69-0503,Horseshoe,St. Louis,Eurasian watermilfoil,2000,1999
69-1306,Gilbert Pit (Ore-be-gone),St. Louis,Eurasian watermilfoil,1999,1999
86-0090,Buffalo,Wright,Eurasian watermilfoil,1999,1999
02-0004,Peltier,Anoka,Eurasian watermilfoil,2000,2000
19-0075,Schultz,Dakota,Eurasian watermilfoil,2000,2000
27-0900,Unnamed wetland,Hennepin,Eurasian watermilfoil,2000,2000
30-0136,Green,Isanti,Eurasian watermilfoil,2000,2000
31-0190,North Twin,Itasca,Eurasian watermilfoil,2000,2000
34-0079,Green,Kandiyohi,Eurasian watermilfoil,2000,2000
55-0004,Zumbro,Olmsted,zebra mussel,2000,2000
62-0006,Kohlmans,Ramsey,Eurasian watermilfoil,2000,2000
62-0054,McCarron,Ramsey,Eurasian watermilfoil,2000,2000
62-0056,Owasso,Ramsey,Eurasian watermilfoil,2000,2000
